book,chapter,verse,verse_id,canonical_reference,full_text,text_clean,word_count,sources,source_count,primary_source,source_sequence,text_J,text_E,text_P,text_D,text_R,text_UNKNOWN,source_percentages,source_confidence,narrative_context,theological_themes,literary_features,cross_references,redaction_indicators,source_boundaries,translation_notes,scholarly_notes,metadata
Deuteronomy,1,1,Deuteronomy_1_1,Deuteronomy 1:1,"These be the words which Moses spake unto all Israel on this side Jordan in the wilderness, in the plain over against the Red sea, between Paran, and Tophel, and Laban, and Hazeroth, and Dizahab.","These be the words which Moses spake unto all Israel on this side Jordan in the wilderness, in the plain over against the Red sea, between Paran, and Tophel, and Laban, and Hazeroth, and Dizahab.",35,D,1,D,D,,,,"These be the words which Moses spake unto all Israel on this side Jordan in the wilderness, in the plain over against the Red sea, between Paran, and Tophel, and Laban, and Hazeroth, and Dizahab.",,,J:0.0;E:0.0;P:0.0;D:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#000000""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Deuteronomy,1,2,Deuteronomy_1_2,Deuteronomy 1:2,(There are eleven days' journey from Horeb by the way of mount Seir unto Kadeshbarnea.),(There are eleven days' journey from Horeb by the way of mount Seir unto Kadeshbarnea.),15,D,1,D,D,,,,(There are eleven days' journey from Horeb by the way of mount Seir unto Kadeshbarnea.),,,J:0.0;E:0.0;P:0.0;D:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#000000""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Deuteronomy,1,3,Deuteronomy_1_3,Deuteronomy 1:3,"And it came to pass in the fortieth year, in the eleventh month, on the first day of the month, that Moses spake unto the children of Israel, according unto all that the LORD had given him in commandment unto them;","And it came to pass in the fortieth year, in the eleventh month, on the first day of the month, that Moses spake unto the children of Israel, according unto all that the LORD had given him in commandment unto them;",41,P,1,P,P,,,"And it came to pass in the fortieth year, in the eleventh month, on the first day of the month, that Moses spake unto the children of Israel, according unto all that the LORD had given him in commandment unto them;",,,,J:0.0;E:0.0;P:100.0;D:0.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Deuteronomy,1,4,Deuteronomy_1_4,Deuteronomy 1:4,"After he had slain Sihon the king of the Amorites, which dwelt in Heshbon, and Og the king of Bashan, which dwelt at Astaroth in Edrei:","After he had slain Sihon the king of the Amorites, which dwelt in Heshbon, and Og the king of Bashan, which dwelt at Astaroth in Edrei:",26,D,1,D,D,,,,"After he had slain Sihon the king of the Amorites, which dwelt in Heshbon, and Og the king of Bashan, which dwelt at Astaroth in Edrei:",,,J:0.0;E:0.0;P:0.0;D:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#000000""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Deuteronomy,1,5,Deuteronomy_1_5,Deuteronomy 1:5,"On this side Jordan, in the land of Moab, began Moses to declare this law, saying,","On this side Jordan, in the land of Moab, began Moses to declare this law, saying,",16,D,1,D,D,,,,"On this side Jordan, in the land of Moab, began Moses to declare this law, saying,",,,J:0.0;E:0.0;P:0.0;D:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#000000""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Deuteronomy,1,6,Deuteronomy_1_6,Deuteronomy 1:6,"The LORD our God spake unto us in Horeb, saying, Ye have dwelt long enough in this mount:","The LORD our God spake unto us in Horeb, saying, Ye have dwelt long enough in this mount:",18,D,1,D,D,,,,"The LORD our God spake unto us in Horeb, saying, Ye have dwelt long enough in this mount:",,,J:0.0;E:0.0;P:0.0;D:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#000000""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Deuteronomy,1,7,Deuteronomy_1_7,Deuteronomy 1:7,"Turn you, and take your journey, and go to the mount of the Amorites, and unto all the places nigh thereunto, in the plain, in the hills, and in the vale, and in the south, and by the sea side, to the land of the Canaanites, and unto Lebanon, unto the great river, the river Euphrates.","Turn you, and take your journey, and go to the mount of the Amorites, and unto all the places nigh thereunto, in the plain, in the hills, and in the vale, and in the south, and by the sea side, to the land of the Canaanites, and unto Lebanon, unto the great river, the river Euphrates.",56,D,1,D,D,,,,"Turn you, and take your journey, and go to the mount of the Amorites, and unto all the places nigh thereunto, in the plain, in the hills, and in the vale, and in the south, and by the sea side, to the land of the Canaanites, and unto Lebanon, unto the great river, the river Euphrates.",,,J:0.0;E:0.0;P:0.0;D:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#000000""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Deuteronomy,1,8,Deuteronomy_1_8,Deuteronomy 1:8,"Behold, I have set the land before you: go in and possess the land which the LORD sware unto your fathers, Abraham, Isaac, and Jacob, to give unto them and to their seed after them.","Behold, I have set the land before you: go in and possess the land which the LORD sware unto your fathers, Abraham, Isaac, and Jacob, to give unto them and to their seed after them.",35,D,1,D,D,,,,"Behold, I have set the land before you: go in and possess the land which the LORD sware unto your fathers, Abraham, Isaac, and Jacob, to give unto them and to their seed after them.",,,J:0.0;E:0.0;P:0.0;D:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#000000""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Deuteronomy,1,9,Deuteronomy_1_9,Deuteronomy 1:9,"And I spake unto you at that time, saying, I am not able to bear you myself alone:","And I spake unto you at that time, saying, I am not able to bear you myself alone:",18,D,1,D,D,,,,"And I spake unto you at that time, saying, I am not able to bear you myself alone:",,,J:0.0;E:0.0;P:0.0;D:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#000000""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Deuteronomy,1,10,Deuteronomy_1_10,Deuteronomy 1:10,"The LORD your God hath multiplied you, and, behold, ye are this day as the stars of heaven for multitude.","The LORD your God hath multiplied you, and, behold, ye are this day as the stars of heaven for multitude.",20,D,1,D,D,,,,"The LORD your God hath multiplied you, and, behold, ye are this day as the stars of heaven for multitude.",,,J:0.0;E:0.0;P:0.0;D:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#000000""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
