book,chapter,verse,verse_id,canonical_reference,full_text,text_clean,word_count,sources,source_count,primary_source,source_sequence,text_J,text_E,text_P,text_R,text_UNKNOWN,source_percentages,source_confidence,narrative_context,theological_themes,literary_features,cross_references,redaction_indicators,source_boundaries,translation_notes,scholarly_notes,metadata
Exodus,1,1,Exodus_1_1,Exodus 1:1,"Now these are the names of the children of Israel, which came into Egypt; every man and his household came with Jacob.","Now these are the names of the children of Israel, which came into Egypt; every man and his household came with Jacob.",22,P,1,P,P,,,"Now these are the names of the children of Israel, which came into Egypt; every man and his household came with Jacob.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Exodus,1,2,Exodus_1_2,Exodus 1:2,"Reuben, Simeon, Levi, and Judah,","Reuben, Simeon, Levi, and Judah,",5,P,1,P,P,,,"Reuben, Simeon, Levi, and Judah,",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Exodus,1,3,Exodus_1_3,Exodus 1:3,"Issachar, Zebulun, and Benjamin,","Issachar, Zebulun, and Benjamin,",4,P,1,P,P,,,"Issachar, Zebulun, and Benjamin,",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Exodus,1,4,Exodus_1_4,Exodus 1:4,"Dan, and Naphtali, Gad, and Asher.","Dan, and Naphtali, Gad, and Asher.",6,P,1,P,P,,,"Dan, and Naphtali, Gad, and Asher.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Exodus,1,5,Exodus_1_5,Exodus 1:5,And all the souls that came out of the loins of Jacob were seventy souls: for Joseph was in Egypt already.,And all the souls that came out of the loins of Jacob were seventy souls: for Joseph was in Egypt already.,21,P,1,P,P,,,And all the souls that came out of the loins of Jacob were seventy souls: for Joseph was in Egypt already.,,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Exodus,1,6,Exodus_1_6,Exodus 1:6,"And Joseph died, and all his brethren, and all that generation.","And Joseph died, and all his brethren, and all that generation.",11,J,1,J,J,"And Joseph died, and all his brethren, and all that generation.",,,,,J:100.0;E:0.0;P:0.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#000088""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Exodus,1,7,Exodus_1_7,Exodus 1:7,"And the children of Israel were fruitful, and increased abundantly, and multiplied, and waxed exceeding mighty; and the land was filled with them.","And the children of Israel were fruitful, and increased abundantly, and multiplied, and waxed exceeding mighty; and the land was filled with them.",23,P,1,P,P,,,"And the children of Israel were fruitful, and increased abundantly, and multiplied, and waxed exceeding mighty; and the land was filled with them.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Exodus,1,8,Exodus_1_8,Exodus 1:8,"Now there arose up a new king over Egypt, which knew not Joseph.","Now there arose up a new king over Egypt, which knew not Joseph.",13,J,1,J,J,"Now there arose up a new king over Egypt, which knew not Joseph.",,,,,J:100.0;E:0.0;P:0.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#000088""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Exodus,1,9,Exodus_1_9,Exodus 1:9,"And he said unto his people, Behold, the people of the children of Israel are more and mightier than we:","And he said unto his people, Behold, the people of the children of Israel are more and mightier than we:",20,J,1,J,J,"And he said unto his people, Behold, the people of the children of Israel are more and mightier than we:",,,,,J:100.0;E:0.0;P:0.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#000088""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Exodus,1,10,Exodus_1_10,Exodus 1:10,"Come on, let us deal wisely with them; lest they multiply, and it come to pass, that, when there falleth out any war, they join also unto our enemies, and fight against us, and so get them up out of the land.","Come on, let us deal wisely with them; lest they multiply, and it come to pass, that, when there falleth out any war, they join also unto our enemies, and fight against us, and so get them up out of the land.",42,J,1,J,J,"Come on, let us deal wisely with them; lest they multiply, and it come to pass, that, when there falleth out any war, they join also unto our enemies, and fight against us, and so get them up out of the land.",,,,,J:100.0;E:0.0;P:0.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#000088""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Exodus,1,11,Exodus_1_11,Exodus 1:11,"Therefore they did set over them taskmasters to afflict them with their burdens. And they built for Pharaoh treasure cities, Pithom and Raamses.","Therefore they did set over them taskmasters to afflict them with their burdens. And they built for Pharaoh treasure cities, Pithom and Raamses.",23,J,1,J,J,"Therefore they did set over them taskmasters to afflict them with their burdens. And they built for Pharaoh treasure cities, Pithom and Raamses.",,,,,J:100.0;E:0.0;P:0.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#000088""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
