book,chapter,verse,verse_id,canonical_reference,full_text,text_clean,word_count,sources,source_count,primary_source,source_sequence,text_J,text_E,text_P,text_R,text_UNKNOWN,source_percentages,source_confidence,narrative_context,theological_themes,literary_features,cross_references,redaction_indicators,source_boundaries,translation_notes,scholarly_notes,metadata
Genesis,1,1,Genesis_1_1,Genesis 1:1,In the beginning God created the heaven and the earth.,In the beginning God created the heaven and the earth.,10,P,1,P,P,,,In the beginning God created the heaven and the earth.,,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Genesis,1,2,Genesis_1_2,Genesis 1:2,"And the earth was without form, and void; and darkness upon the face of the deep. And the Spirit of God moved upon the face of the waters.","And the earth was without form, and void; and darkness upon the face of the deep. And the Spirit of God moved upon the face of the waters.",28,P,1,P,P,,,"And the earth was without form, and void; and darkness upon the face of the deep. And the Spirit of God moved upon the face of the waters.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Genesis,1,3,Genesis_1_3,Genesis 1:3,"And God said, Let there be light: and there was light.","And God said, Let there be light: and there was light.",11,P,1,P,P,,,"And God said, Let there be light: and there was light.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Genesis,1,4,Genesis_1_4,Genesis 1:4,"And God saw the light, that it was good: and God divided the light from the darkness.","And God saw the light, that it was good: and God divided the light from the darkness.",17,P,1,P,P,,,"And God saw the light, that it was good: and God divided the light from the darkness.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Genesis,1,5,Genesis_1_5,Genesis 1:5,"And God called the light Day, and the darkness he called Night. And the evening and the morning were the first day.","And God called the light Day, and the darkness he called Night. And the evening and the morning were the first day.",22,P,1,P,P,,,"And God called the light Day, and the darkness he called Night. And the evening and the morning were the first day.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Genesis,1,6,Genesis_1_6,Genesis 1:6,"And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters.","And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters.",23,P,1,P,P,,,"And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Genesis,1,7,Genesis_1_7,Genesis 1:7,"And God made the firmament, and divided the waters which under the firmament from the waters which above the firmament: and it was so.","And God made the firmament, and divided the waters which under the firmament from the waters which above the firmament: and it was so.",24,P,1,P,P,,,"And God made the firmament, and divided the waters which under the firmament from the waters which above the firmament: and it was so.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Genesis,1,8,Genesis_1_8,Genesis 1:8,And God called the firmament Heaven. And the evening and the morning were the second day.,And God called the firmament Heaven. And the evening and the morning were the second day.,16,P,1,P,P,,,And God called the firmament Heaven. And the evening and the morning were the second day.,,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Genesis,1,9,Genesis_1_9,Genesis 1:9,"And God said, Let the waters under the heaven be gathered together unto one place, and let the dry appear: and it was so.","And God said, Let the waters under the heaven be gathered together unto one place, and let the dry appear: and it was so.",24,P,1,P,P,,,"And God said, Let the waters under the heaven be gathered together unto one place, and let the dry appear: and it was so.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Genesis,1,10,Genesis_1_10,Genesis 1:10,And God called the dry Earth; and the gathering together of the waters called he Seas: and God saw that it was good.,And God called the dry Earth; and the gathering together of the waters called he Seas: and God saw that it was good.,23,P,1,P,P,,,And God called the dry Earth; and the gathering together of the waters called he Seas: and God saw that it was good.,,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Genesis,1,11,Genesis_1_11,Genesis 1:11,"And God said, Let the earth bring forth grass, the herb yielding seed, and the fruit tree yielding fruit after his kind, whose seed is in itself, upon the earth: and it was so.","And God said, Let the earth bring forth grass, the herb yielding seed, and the fruit tree yielding fruit after his kind, whose seed is in itself, upon the earth: and it was so.",34,P,1,P,P,,,"And God said, Let the earth bring forth grass, the herb yielding seed, and the fruit tree yielding fruit after his kind, whose seed is in itself, upon the earth: and it was so.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Genesis,1,12,Genesis_1_12,Genesis 1:12,"And the earth brought forth grass, and herb yielding seed after his kind, and the tree yielding fruit, whose seed was in itself, after his kind: and God saw that it was good.","And the earth brought forth grass, and herb yielding seed after his kind, and the tree yielding fruit, whose seed was in itself, after his kind: and God saw that it was good.",33,P,1,P,P,,,"And the earth brought forth grass, and herb yielding seed after his kind, and the tree yielding fruit, whose seed was in itself, after his kind: and God saw that it was good.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Genesis,1,13,Genesis_1_13,Genesis 1:13,And the evening and the morning were the third day.,And the evening and the morning were the third day.,10,P,1,P,P,,,And the evening and the morning were the third day.,,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Genesis,1,14,Genesis_1_14,Genesis 1:14,"And God said, Let there be lights in the firmament of the heaven to divide the day from the night; and let them be for signs, and for seasons, and for days, and years:","And God said, Let there be lights in the firmament of the heaven to divide the day from the night; and let them be for signs, and for seasons, and for days, and years:",34,P,1,P,P,,,"And God said, Let there be lights in the firmament of the heaven to divide the day from the night; and let them be for signs, and for seasons, and for days, and years:",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Genesis,1,15,Genesis_1_15,Genesis 1:15,And let them be for lights in the firmament of the heaven to give light upon the earth: and it was so.,And let them be for lights in the firmament of the heaven to give light upon the earth: and it was so.,22,P,1,P,P,,,And let them be for lights in the firmament of the heaven to give light upon the earth: and it was so.,,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Genesis,1,16,Genesis_1_16,Genesis 1:16,"And God made two great lights; the greater light to rule the day, and the lesser light to rule the night: he made the stars also.","And God made two great lights; the greater light to rule the day, and the lesser light to rule the night: he made the stars also.",26,P,1,P,P,,,"And God made two great lights; the greater light to rule the day, and the lesser light to rule the night: he made the stars also.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Genesis,1,17,Genesis_1_17,Genesis 1:17,"And God set them in the firmament of the heaven to give light upon the earth,","And God set them in the firmament of the heaven to give light upon the earth,",16,P,1,P,P,,,"And God set them in the firmament of the heaven to give light upon the earth,",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Genesis,1,18,Genesis_1_18,Genesis 1:18,"And to rule over the day and over the night, and to divide the light from the darkness: and God saw that it was good.","And to rule over the day and over the night, and to divide the light from the darkness: and God saw that it was good.",25,P,1,P,P,,,"And to rule over the day and over the night, and to divide the light from the darkness: and God saw that it was good.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Genesis,1,19,Genesis_1_19,Genesis 1:19,And the evening and the morning were the fourth day.,And the evening and the morning were the fourth day.,10,P,1,P,P,,,And the evening and the morning were the fourth day.,,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Genesis,1,20,Genesis_1_20,Genesis 1:20,"And God said, Let the waters bring forth abundantly the moving creature that hath life, and fowl that may fly above the earth in the open firmament of heaven.","And God said, Let the waters bring forth abundantly the moving creature that hath life, and fowl that may fly above the earth in the open firmament of heaven.",29,P,1,P,P,,,"And God said, Let the waters bring forth abundantly the moving creature that hath life, and fowl that may fly above the earth in the open firmament of heaven.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Genesis,1,21,Genesis_1_21,Genesis 1:21,"And God created great whales, and every living creature that moveth, which the waters brought forth abundantly, after their kind, and every winged fowl after his kind: and God saw that it was good.","And God created great whales, and every living creature that moveth, which the waters brought forth abundantly, after their kind, and every winged fowl after his kind: and God saw that it was good.",34,P,1,P,P,,,"And God created great whales, and every living creature that moveth, which the waters brought forth abundantly, after their kind, and every winged fowl after his kind: and God saw that it was good.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Genesis,1,22,Genesis_1_22,Genesis 1:22,"And God blessed them, saying, Be fruitful, and multiply, and fill the waters in the seas, and let fowl multiply in the earth.","And God blessed them, saying, Be fruitful, and multiply, and fill the waters in the seas, and let fowl multiply in the earth.",23,P,1,P,P,,,"And God blessed them, saying, Be fruitful, and multiply, and fill the waters in the seas, and let fowl multiply in the earth.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Genesis,1,23,Genesis_1_23,Genesis 1:23,And the evening and the morning were the fifth day.,And the evening and the morning were the fifth day.,10,P,1,P,P,,,And the evening and the morning were the fifth day.,,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Genesis,1,24,Genesis_1_24,Genesis 1:24,"And God said, Let the earth bring forth the living creature after his kind, cattle, and creeping thing, and beast of the earth after his kind: and it was so.","And God said, Let the earth bring forth the living creature after his kind, cattle, and creeping thing, and beast of the earth after his kind: and it was so.",30,P,1,P,P,,,"And God said, Let the earth bring forth the living creature after his kind, cattle, and creeping thing, and beast of the earth after his kind: and it was so.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Genesis,1,25,Genesis_1_25,Genesis 1:25,"And God made the beast of the earth after his kind, and cattle after their kind, and every thing that creepeth upon the earth after his kind: and God saw that it was good.","And God made the beast of the earth after his kind, and cattle after their kind, and every thing that creepeth upon the earth after his kind: and God saw that it was good.",34,P,1,P,P,,,"And God made the beast of the earth after his kind, and cattle after their kind, and every thing that creepeth upon the earth after his kind: and God saw that it was good.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Genesis,1,26,Genesis_1_26,Genesis 1:26,"And God said, Let us make man in our image, after our likeness: and let them have dominion over the fish of the sea, and over the fowl of the air, and over the cattle, and over all the earth, and over every creeping thing that creepeth upon the earth.","And God said, Let us make man in our image, after our likeness: and let them have dominion over the fish of the sea, and over the fowl of the air, and over the cattle, and over all the earth, and over every creeping thing that creepeth upon the earth.",50,P,1,P,P,,,"And God said, Let us make man in our image, after our likeness: and let them have dominion over the fish of the sea, and over the fowl of the air, and over the cattle, and over all the earth, and over every creeping thing that creepeth upon the earth.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Genesis,1,27,Genesis_1_27,Genesis 1:27,"So God created man in his own image, in the image of God created he him; male and female created he them.","So God created man in his own image, in the image of God created he him; male and female created he them.",22,P,1,P,P,,,"So God created man in his own image, in the image of God created he him; male and female created he them.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Genesis,1,28,Genesis_1_28,Genesis 1:28,"And God blessed them, and God said unto them, Be fruitful, and multiply, and replenish the earth, and subdue it: and have dominion over the fish of the sea, and over the fowl of the air, and over every living thing that moveth upon the earth.","And God blessed them, and God said unto them, Be fruitful, and multiply, and replenish the earth, and subdue it: and have dominion over the fish of the sea, and over the fowl of the air, and over every living thing that moveth upon the earth.",46,P,1,P,P,,,"And God blessed them, and God said unto them, Be fruitful, and multiply, and replenish the earth, and subdue it: and have dominion over the fish of the sea, and over the fowl of the air, and over every living thing that moveth upon the earth.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Genesis,1,29,Genesis_1_29,Genesis 1:29,"And God said, Behold, I have given you every herb bearing seed, which is upon the face of all the earth, and every tree, in the which is the fruit of a tree yielding seed; to you it shall be for meat.","And God said, Behold, I have given you every herb bearing seed, which is upon the face of all the earth, and every tree, in the which is the fruit of a tree yielding seed; to you it shall be for meat.",42,P,1,P,P,,,"And God said, Behold, I have given you every herb bearing seed, which is upon the face of all the earth, and every tree, in the which is the fruit of a tree yielding seed; to you it shall be for meat.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Genesis,1,30,Genesis_1_30,Genesis 1:30,"And to every beast of the earth, and to every fowl of the air, and to every thing that creepeth upon the earth, wherein there is life, I have given every green herb for meat: and it was so.","And to every beast of the earth, and to every fowl of the air, and to every thing that creepeth upon the earth, wherein there is life, I have given every green herb for meat: and it was so.",39,P,1,P,P,,,"And to every beast of the earth, and to every fowl of the air, and to every thing that creepeth upon the earth, wherein there is life, I have given every green herb for meat: and it was so.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Genesis,1,31,Genesis_1_31,Genesis 1:31,"And God saw every thing that he had made, and, behold, it was very good. And the evening and the morning were the sixth day.","And God saw every thing that he had made, and, behold, it was very good. And the evening and the morning were the sixth day.",25,P,1,P,P,,,"And God saw every thing that he had made, and, behold, it was very good. And the evening and the morning were the sixth day.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Genesis,2,1,Genesis_2_1,Genesis 2:1,"Thus the heavens and the earth were finished, and all the host of them.","Thus the heavens and the earth were finished, and all the host of them.",14,P,1,P,P,,,"Thus the heavens and the earth were finished, and all the host of them.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Genesis,2,2,Genesis_2_2,Genesis 2:2,And on the seventh day God ended his work which he had made; and he rested on the seventh day from all his work which he had made.,And on the seventh day God ended his work which he had made; and he rested on the seventh day from all his work which he had made.,28,P,1,P,P,,,And on the seventh day God ended his work which he had made; and he rested on the seventh day from all his work which he had made.,,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Genesis,2,3,Genesis_2_3,Genesis 2:3,"And God blessed the seventh day, and sanctified it: because that in it he had rested from all his work which God created and made.","And God blessed the seventh day, and sanctified it: because that in it he had rested from all his work which God created and made.",25,P,1,P,P,,,"And God blessed the seventh day, and sanctified it: because that in it he had rested from all his work which God created and made.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Genesis,2,4,Genesis_2_4,Genesis 2:4,"These are the generations of the heavens and of the earth when they were created, in the day that the LORD God made the earth and the heavens,","These are the generations of the heavens and of the earth when they were created, in the day that the LORD God made the earth and the heavens,",28,P;J;R;J,4,P,P->J->R->J,"in the day that the LORD made the earth and the heavens,",,"These are the generations of the heavens and of the earth when they were created,",God,,J:39.4;E:0.0;P:57.0;R:2.1;UNKNOWN:0.0,low,,,,,multi_source;redactor_present;complex_redaction,boundary_1;boundary_2;boundary_3,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800"", ""#000088"", ""#880000"", ""#000088""], ""segments"": 4, ""has_redaction"": true, ""is_multi_source"": true, ""source_complexity"": ""high""}"
Genesis,2,5,Genesis_2_5,Genesis 2:5,"And every plant of the field before it was in the earth, and every herb of the field before it grew: for the LORD God had not caused it to rain upon the earth, and there was not a man to till the ground.","And every plant of the field before it was in the earth, and every herb of the field before it grew: for the LORD God had not caused it to rain upon the earth, and there was not a man to till the ground.",44,J;R;J,3,J,J->R->J,"And every plant of the field before it was in the earth, and every herb of the field before it grew: for the LORD had not caused it to rain upon the earth, and there was not a man to till the ground.",,,God,,J:98.0;E:0.0;P:0.0;R:1.5;UNKNOWN:0.0,low,,,,,multi_source;redactor_present;complex_redaction,boundary_1;boundary_2,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#000088"", ""#880000"", ""#000088""], ""segments"": 3, ""has_redaction"": true, ""is_multi_source"": true, ""source_complexity"": ""high""}"
Genesis,2,6,Genesis_2_6,Genesis 2:6,"But there went up a mist from the earth, and watered the whole face of the ground.","But there went up a mist from the earth, and watered the whole face of the ground.",17,J,1,J,J,"But there went up a mist from the earth, and watered the whole face of the ground.",,,,,J:100.0;E:0.0;P:0.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#000088""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Genesis,2,7,Genesis_2_7,Genesis 2:7,"And the LORD God formed man of the dust of the ground, and breathed into his nostrils the breath of life; and man became a living soul.","And the LORD God formed man of the dust of the ground, and breathed into his nostrils the breath of life; and man became a living soul.",27,J;R;J,3,J,J->R->J,"And the LORD formed man of the dust of the ground, and breathed into his nostrils the breath of life; and man became a living soul.",,,God,,J:97.0;E:0.0;P:0.0;R:2.2;UNKNOWN:0.0,low,,,,,multi_source;redactor_present;complex_redaction,boundary_1;boundary_2,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#000088"", ""#880000"", ""#000088""], ""segments"": 3, ""has_redaction"": true, ""is_multi_source"": true, ""source_complexity"": ""high""}"
Genesis,2,8,Genesis_2_8,Genesis 2:8,And the LORD God planted a garden eastward in Eden; and there he put the man whom he had formed.,And the LORD God planted a garden eastward in Eden; and there he put the man whom he had formed.,20,J;R;J,3,J,J->R->J,And the LORD planted a garden eastward in Eden; and there he put the man whom he had formed.,,,God,,J:95.8;E:0.0;P:0.0;R:3.1;UNKNOWN:0.0,low,,,,,multi_source;redactor_present;complex_redaction,boundary_1;boundary_2,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#000088"", ""#880000"", ""#000088""], ""segments"": 3, ""has_redaction"": true, ""is_multi_source"": true, ""source_complexity"": ""high""}"
Genesis,2,9,Genesis_2_9,Genesis 2:9,"And out of the ground made the LORD God to grow every tree that is pleasant to the sight, and good for food; the tree of life also in the midst of the garden, and the tree of knowledge of good and evil.","And out of the ground made the LORD God to grow every tree that is pleasant to the sight, and good for food; the tree of life also in the midst of the garden, and the tree of knowledge of good and evil.",43,J;R;J,3,J,J->R->J,"And out of the ground made the LORD to grow every tree that is pleasant to the sight, and good for food; the tree of life also in the midst of the garden, and the tree of knowledge of good and evil.",,,God,,J:98.0;E:0.0;P:0.0;R:1.5;UNKNOWN:0.0,low,,,,,multi_source;redactor_present;complex_redaction,boundary_1;boundary_2,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#000088"", ""#880000"", ""#000088""], ""segments"": 3, ""has_redaction"": true, ""is_multi_source"": true, ""source_complexity"": ""high""}"
Genesis,2,10,Genesis_2_10,Genesis 2:10,"And a river went out of Eden to water the garden; and from thence it was parted, and became into four heads.","And a river went out of Eden to water the garden; and from thence it was parted, and became into four heads.",22,J,1,J,J,"And a river went out of Eden to water the garden; and from thence it was parted, and became into four heads.",,,,,J:100.0;E:0.0;P:0.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#000088""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Genesis,2,11,Genesis_2_11,Genesis 2:11,"The name of the first is Pison: that is it which compasseth the whole land of Havilah, where there is gold;","The name of the first is Pison: that is it which compasseth the whole land of Havilah, where there is gold;",21,J,1,J,J,"The name of the first is Pison: that is it which compasseth the whole land of Havilah, where there is gold;",,,,,J:100.0;E:0.0;P:0.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#000088""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Genesis,2,12,Genesis_2_12,Genesis 2:12,And the gold of that land is good: there is bdellium and the onyx stone.,And the gold of that land is good: there is bdellium and the onyx stone.,15,J,1,J,J,And the gold of that land is good: there is bdellium and the onyx stone.,,,,,J:100.0;E:0.0;P:0.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#000088""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Genesis,2,13,Genesis_2_13,Genesis 2:13,And the name of the second river is Gihon: the same is it that compasseth the whole land of Ethiopia.,And the name of the second river is Gihon: the same is it that compasseth the whole land of Ethiopia.,20,J,1,J,J,And the name of the second river is Gihon: the same is it that compasseth the whole land of Ethiopia.,,,,,J:100.0;E:0.0;P:0.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#000088""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Genesis,2,14,Genesis_2_14,Genesis 2:14,And the name of the third river is Hiddekel: that is it which goeth toward the east of Assyria. And the fourth river is Euphrates.,And the name of the third river is Hiddekel: that is it which goeth toward the east of Assyria. And the fourth river is Euphrates.,25,J,1,J,J,And the name of the third river is Hiddekel: that is it which goeth toward the east of Assyria. And the fourth river is Euphrates.,,,,,J:100.0;E:0.0;P:0.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#000088""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
