book,chapter,verse,verse_id,canonical_reference,full_text,text_clean,word_count,sources,source_count,primary_source,source_sequence,text_J,text_E,text_P,text_R,text_UNKNOWN,source_percentages,source_confidence,narrative_context,theological_themes,literary_features,cross_references,redaction_indicators,source_boundaries,translation_notes,scholarly_notes,metadata
Numbers,1,1,Numbers_1_1,Numbers 1:1,"And the LORD spake unto Moses in the wilderness of Sinai, in the tabernacle of the congregation, on the first day of the second month, in the second year after they were come out of the land of Egypt, saying,","And the LORD spake unto Moses in the wilderness of Sinai, in the tabernacle of the congregation, on the first day of the second month, in the second year after they were come out of the land of Egypt, saying,",40,P,1,P,P,,,"And the LORD spake unto Moses in the wilderness of Sinai, in the tabernacle of the congregation, on the first day of the second month, in the second year after they were come out of the land of Egypt, saying,",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Numbers,1,2,Numbers_1_2,Numbers 1:2,"Take ye the sum of all the congregation of the children of Israel, after their families, by the house of their fathers, with the number of their names, every male by their polls;","Take ye the sum of all the congregation of the children of Israel, after their families, by the house of their fathers, with the number of their names, every male by their polls;",33,P,1,P,P,,,"Take ye the sum of all the congregation of the children of Israel, after their families, by the house of their fathers, with the number of their names, every male by their polls;",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Numbers,1,3,Numbers_1_3,Numbers 1:3,"From twenty years old and upward, all that are able to go forth to war in Israel: thou and Aaron shall number them by their armies.","From twenty years old and upward, all that are able to go forth to war in Israel: thou and Aaron shall number them by their armies.",26,P,1,P,P,,,"From twenty years old and upward, all that are able to go forth to war in Israel: thou and Aaron shall number them by their armies.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Numbers,1,4,Numbers_1_4,Numbers 1:4,And with you there shall be a man of every tribe; every one head of the house of his fathers.,And with you there shall be a man of every tribe; every one head of the house of his fathers.,20,P,1,P,P,,,And with you there shall be a man of every tribe; every one head of the house of his fathers.,,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Numbers,1,5,Numbers_1_5,Numbers 1:5,And these are the names of the men that shall stand with you: of the tribe of Reuben; Elizur the son of Shedeur.,And these are the names of the men that shall stand with you: of the tribe of Reuben; Elizur the son of Shedeur.,23,P,1,P,P,,,And these are the names of the men that shall stand with you: of the tribe of Reuben; Elizur the son of Shedeur.,,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Numbers,1,6,Numbers_1_6,Numbers 1:6,Of Simeon; Shelumiel the son of Zurishaddai.,Of Simeon; Shelumiel the son of Zurishaddai.,7,P,1,P,P,,,Of Simeon; Shelumiel the son of Zurishaddai.,,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Numbers,1,7,Numbers_1_7,Numbers 1:7,Of Judah; Nahshon the son of Amminadab.,Of Judah; Nahshon the son of Amminadab.,7,P,1,P,P,,,Of Judah; Nahshon the son of Amminadab.,,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Numbers,1,8,Numbers_1_8,Numbers 1:8,Of Issachar; Nethaneel the son of Zuar.,Of Issachar; Nethaneel the son of Zuar.,7,P,1,P,P,,,Of Issachar; Nethaneel the son of Zuar.,,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Numbers,1,9,Numbers_1_9,Numbers 1:9,Of Zebulun; Eliab the son of Helon.,Of Zebulun; Eliab the son of Helon.,7,P,1,P,P,,,Of Zebulun; Eliab the son of Helon.,,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Numbers,1,10,Numbers_1_10,Numbers 1:10,Of the children of Joseph: of Ephraim; Elishama the son of Ammihud: of Manasseh; Gamaliel the son of Pedahzur.,Of the children of Joseph: of Ephraim; Elishama the son of Ammihud: of Manasseh; Gamaliel the son of Pedahzur.,19,P,1,P,P,,,Of the children of Joseph: of Ephraim; Elishama the son of Ammihud: of Manasseh; Gamaliel the son of Pedahzur.,,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
