reference,text,chapter,verse,sub_source,color,word_count,source_file,parsing_date
Deuteronomy 1,"These be the words which Moses spake unto all Israel on this side Jordan in the wilderness, in the plain over against the Red sea, between Paran, and Tophel, and Laban, and Hazeroth, and Dizahab.",1,1,Dtr2,#008800,35,Deuteronomist_source.wikitext,2025-08-18T18:16:26.190513
Deuteronomy 2,(There are eleven days' journey from Horeb by the way of mount Seir unto Kadeshbarnea.),1,2,Dtr2,#008800,15,Deuteronomist_source.wikitext,2025-08-18T18:16:26.190513
Deuteronomy 3,"After he had slain Sihon the king of the Amorites, which dwelt in Heshbon, and Og the king of Bashan, which dwelt at Astaroth in Edrei:",1,3,Dtr2,#008800,26,Deuteronomist_source.wikitext,2025-08-18T18:16:26.190513
Deuteronomy 4,"On this side Jordan, in the land of Moab, began Moses to declare this law, saying,",1,4,Dtr2,#008800,16,Deuteronomist_source.wikitext,2025-08-18T18:16:26.190513
Deuteronomy 1,"After he had slain Sihon the king of the Amorites, which dwelt in Heshbon, and Og the king of Bashan, which dwelt at Astaroth in Edrei:",1,1,Dtr2,#008800,26,Deuteronomist_source.wikitext,2025-08-18T18:16:26.190513
Deuteronomy 2,"On this side Jordan, in the land of Moab, began Moses to declare this law, saying,",1,2,Dtr2,#008800,16,Deuteronomist_source.wikitext,2025-08-18T18:16:26.190513
Deuteronomy 3,"The LORD our God spake unto us in Horeb, saying, Ye have dwelt long enough in this mount:",1,3,Dtr2,#008800,18,Deuteronomist_source.wikitext,2025-08-18T18:16:26.190513
Deuteronomy 4,"Turn you, and take your journey, and go to the mount of the Amorites, and unto all the places nigh thereunto, in the plain, in the hills, and in the vale, and in the south, and by the sea side, to the land of the Canaanites, and unto Lebanon, unto the great river, the river Euphrates.",1,4,Dtr2,#008800,56,Deuteronomist_source.wikitext,2025-08-18T18:16:26.190513
Deuteronomy 5,"Behold, I have set the land before you: go in and possess the land which the LORD sware unto your fathers, Abraham, Isaac, and Jacob, to give unto them and to their seed after them.",1,5,Dtr2,#008800,35,Deuteronomist_source.wikitext,2025-08-18T18:16:26.190513
Deuteronomy 6,"And I spake unto you at that time, saying, I am not able to bear you myself alone:",1,6,Dtr2,#008800,18,Deuteronomist_source.wikitext,2025-08-18T18:16:26.190513
Deuteronomy 7,"The LORD your God hath multiplied you, and, behold, ye are this day as the stars of heaven for multitude.",1,7,Dtr2,#008800,20,Deuteronomist_source.wikitext,2025-08-18T18:16:26.190513
Deuteronomy 8,"(The LORD God of your fathers make you a thousand times so many more as ye are, and bless you, as he hath promised you!)",1,8,Dtr2,#008800,25,Deuteronomist_source.wikitext,2025-08-18T18:16:26.190513
Deuteronomy 9,"How can I myself alone bear your cumbrance, and your burden, and your strife?",1,9,Dtr2,#008800,14,Deuteronomist_source.wikitext,2025-08-18T18:16:26.190513
Deuteronomy 10,"Take you wise men, and understanding, and known among your tribes, and I will make them rulers over you.",1,10,Dtr2,#008800,19,Deuteronomist_source.wikitext,2025-08-18T18:16:26.190513
Deuteronomy 11,"And ye answered me, and said, The thing which thou hast spoken is good for us to do.",1,11,Dtr2,#008800,18,Deuteronomist_source.wikitext,2025-08-18T18:16:26.190513
Deuteronomy 12,"So I took the chief of your tribes, wise men, and known, and made them heads over you, captains over thousands, and captains over hundreds, and captains over fifties, and captains over tens, and officers among your tribes.",1,12,Dtr2,#008800,38,Deuteronomist_source.wikitext,2025-08-18T18:16:26.190513
Deuteronomy 13,"And I charged your judges at that time, saying, Hear the causes between your brethren, and judge righteously between every man and his brother, and the stranger that is with him.",1,13,Dtr2,#008800,31,Deuteronomist_source.wikitext,2025-08-18T18:16:26.190513
Deuteronomy 14,"Ye shall not respect persons in judgment; but ye shall hear the small as well as the great; ye shall not be afraid of the face of man; for the judgment is God's: and the cause that is too hard for you, bring it unto me, and I will hear it.",1,14,Dtr2,#008800,51,Deuteronomist_source.wikitext,2025-08-18T18:16:26.190513
Deuteronomy 15,And I commanded you at that time all the things which ye should do.,1,15,Dtr2,#008800,14,Deuteronomist_source.wikitext,2025-08-18T18:16:26.190513
Deuteronomy 16,"And when we departed from Horeb, we went through all that great and terrible wilderness, which ye saw by the way of the mountain of the Amorites, as the LORD our God commanded us; and we came to Kadeshbarnea.",1,16,Dtr2,#008800,39,Deuteronomist_source.wikitext,2025-08-18T18:16:26.190513
Deuteronomy 17,"And I said unto you, Ye are come unto the mountain of the Amorites, which the LORD our God doth give unto us.",1,17,Dtr2,#008800,23,Deuteronomist_source.wikitext,2025-08-18T18:16:26.190513
Deuteronomy 18,"Behold, the LORD thy God hath set the land before thee: go up and possess it, as the LORD God of thy fathers hath said unto thee; fear not, neither be discouraged.",1,18,Dtr2,#008800,32,Deuteronomist_source.wikitext,2025-08-18T18:16:26.190513
Deuteronomy 19,"And ye came near unto me every one of you, and said, We will send men before us, and they shall search us out the land, and bring us word again by what way we must go up, and into what cities we shall come.",1,19,Dtr2,#008800,45,Deuteronomist_source.wikitext,2025-08-18T18:16:26.190513
Deuteronomy 20,"And the saying pleased me well: and I took twelve men of you, one of a tribe:",1,20,Dtr2,#008800,17,Deuteronomist_source.wikitext,2025-08-18T18:16:26.190513
Deuteronomy 21,"And they turned and went up into the mountain, and came unto the valley of Eshcol, and searched it out.",1,21,Dtr2,#008800,20,Deuteronomist_source.wikitext,2025-08-18T18:16:26.190513
Deuteronomy 22,"And they took of the fruit of the land in their hands, and brought it down unto us, and brought us word again, and said, It is a good land which the LORD our God doth give us.",1,22,Dtr2,#008800,38,Deuteronomist_source.wikitext,2025-08-18T18:16:26.190513
Deuteronomy 23,"Notwithstanding ye would not go up, but rebelled against the commandment of the LORD your God:",1,23,Dtr2,#008800,16,Deuteronomist_source.wikitext,2025-08-18T18:16:26.190513
Deuteronomy 24,"And ye murmured in your tents, and said, Because the LORD hated us, he hath brought us forth out of the land of Egypt, to deliver us into the hand of the Amorites, to destroy us.",1,24,Dtr2,#008800,36,Deuteronomist_source.wikitext,2025-08-18T18:16:26.190513
Deuteronomy 25,"Whither shall we go up? our brethren have discouraged our heart, saying, The people is greater and taller than we; the cities are great and walled up to heaven; and moreover we have seen the sons of the Anakims there.",1,25,Dtr2,#008800,40,Deuteronomist_source.wikitext,2025-08-18T18:16:26.190513
Deuteronomy 26,"Then I said unto you, Dread not, neither be afraid of them.",1,26,Dtr2,#008800,12,Deuteronomist_source.wikitext,2025-08-18T18:16:26.190513
Deuteronomy 27,"The LORD your God which goeth before you, he shall fight for you, according to all that he did for you in Egypt before your eyes;",1,27,Dtr2,#008800,26,Deuteronomist_source.wikitext,2025-08-18T18:16:26.190513
Deuteronomy 28,"And in the wilderness, where thou hast seen how that the LORD thy God bare thee, as a man doth bear his son, in all the way that ye went, until ye came into this place.",1,28,Dtr2,#008800,36,Deuteronomist_source.wikitext,2025-08-18T18:16:26.190513
Deuteronomy 29,"Yet in this thing ye did not believe the LORD your God,",1,29,Dtr2,#008800,12,Deuteronomist_source.wikitext,2025-08-18T18:16:26.190513
